VILLCODE,COUNTYNAME,TOWNNAME,VILLNAME,VILLENG,COUNTYID,COUNTYCODE,TOWNID,TOWNCODE,housenum,2019戶,2019人,2009戶,2009人,全名,taxnum,綜合所?,ave,median,第一分?,第三分?,popdelta,標準差,變異數,empty
66000110011,臺中市,大甲區,薰風里,Xuenfeng Vil.,B,66000,B11,66000110,39,370,1015,386,1168,臺中市大甲區薰風里,266,256737,965,556,322,1093,-0.130993,1476.39,152.97,0.0967
66000110012,臺中市,大甲區,義和里,Yihe Vil.,B,66000,B11,66000110,71,1126,3869,958,3777,臺中市大甲區義和里,978,773035,790,585,355,956,0.024358,806.36,102.02,0.0682
66000110013,臺中市,大甲區,武陵里,Wuling Vil.,B,66000,B11,66000110,23,381,1385,346,1514,臺中市大甲區武陵里,346,252790,731,568,358,875,-0.085205,646.04,88.43,0.0703
66000110014,臺中市,大甲區,文曲里,Wenqu Vil.,B,66000,B11,66000110,17,355,1264,342,1400,臺中市大甲區文曲里,293,189291,646,504,347,810,-0.097143,595.73,92.21,0.0574
66000110015,臺中市,大甲區,武曲里,Wuqu Vil.,B,66000,B11,66000110,32,536,2131,517,2280,臺中市大甲區武曲里,584,716564,1227,558,328,879,-0.065351,4143.09,337.66,0.0636
66000110016,臺中市,大甲區,文武里,Wenwu Vil.,B,66000,B11,66000110,156,2071,6687,1829,6785,臺中市大甲區文武里,1796,1496782,833,597,344,1020,-0.014444,895.49,107.45,0.0785
66000110017,臺中市,大甲區,奉化里,Fenghua Vil.,B,66000,B11,66000110,76,807,2488,722,2398,臺中市大甲區奉化里,658,572436,870,594,364,1136,0.037531,813.12,93.47,0.092
66000110018,臺中市,大甲區,德化里,Dehua Vil.,B,66000,B11,66000110,60,596,2094,543,2151,臺中市大甲區德化里,559,385482,690,548,317,892,-0.026499,566.51,82.15,0.106
66000110019,臺中市,大甲區,江南里,Jiangnan Vil.,B,66000,B11,66000110,43,461,1618,400,1618,臺中市大甲區江南里,424,323301,763,540,337,914,0,831.26,109.02,0.1031
66000110020,臺中市,大甲區,頂店里,Dingdian Vil.,B,66000,B11,66000110,150,1684,5568,1373,5282,臺中市大甲區頂店里,1462,1196675,819,590,348,974,0.054146,1123.87,137.31,0.0943
66000110021,臺中市,大甲區,太白里,Taibai Vil.,B,66000,B11,66000110,29,406,1471,386,1618,臺中市大甲區太白里,364,241170,663,501,324,822,-0.090853,581.57,87.78,0.0916
66000110022,臺中市,大甲區,孟春里,Mengchun Vil.,B,66000,B11,66000110,111,1490,4980,1262,4766,臺中市大甲區孟春里,1234,865254,701,532,346,886,0.044901,579.2,82.6,0.0785
66000110023,臺中市,大甲區,幸福里,Xingfu Vil.,B,66000,B11,66000110,57,937,3085,886,3327,臺中市大甲區幸福里,728,512223,704,510,330,832,-0.072738,725.18,103.07,0.0826
66000110024,臺中市,大甲區,日南里,Rinan Vil.,B,66000,B11,66000110,179,2039,6739,1713,6344,臺中市大甲區日南里,1885,1313740,697,537,349,844,0.062264,785.1,112.65,0.0881
66000110025,臺中市,大甲區,龍泉里,Longquan Vil.,B,66000,B11,66000110,324,511,1778,480,1915,臺中市大甲區龍泉里,438,274791,627,474,329,793,-0.07154,520.65,82.99,0.1016
66000110026,臺中市,大甲區,西岐里,Xiqi Vil.,B,66000,B11,66000110,40,559,1977,487,2055,臺中市大甲區西岐里,499,371352,744,521,343,846,-0.037956,1203.92,161.77,0.084
66000110027,臺中市,大甲區,銅安里,Tong'an Vil.,B,66000,B11,66000110,33,470,1674,425,1658,臺中市大甲區銅安里,407,268823,660,517,331,835,0.00965,540.36,81.81,0.0895
